Future Contract Code;Bond Future ISIN;Expiration Date;Bond ISIN;Coupon Rate;Bond Maturity date;Bond Conversion Factor
MBUN;IT0024603869;20260306;DE000BU2Z049;2.5;20350215;0.763168
MBUN;IT0024832690;20260608;DE000BU2Z049;2.5;20350215;0.768181
MBUN;IT0024603869;20260306;DE000BU2Z056;2.6;20350815;0.760127
MBUN;IT0024832690;20260608;DE000BU2Z056;2.6;20350815;0.765083
MBUN;IT0025480945;20260908;DE000BU2Z056;2.6;20350815;0.770088
MBUN;IT0024832690;20260608;DE000BU2Z064;2.9;20360215;0.776886
MBUN;IT0025480945;20260908;DE000BU2Z064;2.9;20360215;0.781249
MBUN;IT0024603869;20260306;DE000BU3Z047;2.5;20350215;0.763168
MBUN;IT0024832690;20260608;DE000BU3Z047;2.5;20350215;0.768181
MBON;IT0024603778;20260306;ES0000012N35;3.45;20341031;0.831602
MBON;IT0024603778;20260306;ES0000012O67;3.15;20350430;0.803761
MBON;IT0024832674;20260608;ES0000012O67;3.15;20350430;0.807907
MBON;IT0025480911;20260908;ES0000012O67;3.15;20350430;0.811973
MBON;IT0024603778;20260306;ES0000012P33;3.2;20351031;0.799169
MBON;IT0024832674;20260608;ES0000012P33;3.2;20351031;0.803096
MBON;IT0025480911;20260908;ES0000012P33;3.2;20351031;0.8072
MBON;IT0024832674;20260608;ES0000012Q08;3.3;20360430;0.802833
MBON;IT0025480911;20260908;ES0000012Q08;3.3;20360430;0.806448
MOAT;IT0024603893;20260306;FR001400QMF9;3.0;20341125;0.800773
MOAT;IT0024603893;20260306;FR001400X8V5;3.2;20350525;0.806067
MOAT;IT0024832708;20260608;FR001400X8V5;3.2;20350525;0.81022
MOAT;IT0025480952;20260908;FR001400X8V5;3.2;20350525;0.814163
MOAT;IT0024603893;20260306;FR0014012II5;3.5;20351125;0.819723
MOAT;IT0024832708;20260608;FR0014012II5;3.5;20351125;0.823178
MOAT;IT0025480952;20260908;FR0014012II5;3.5;20351125;0.826814
MBTP;IT0024603802;20260306;IT0005358806;3.35;20350301;0.823467
MBTP;IT0024832682;20260608;IT0005358806;3.35;20350301;0.827188
MBTX;IT0024603836;20260306;IT0005398406;2.45;20500901;0.764599
MBTX;IT0024832716;20260608;IT0005398406;2.45;20500901;0.766014
MBTP;IT0024603802;20260306;IT0005402117;1.45;20360301;0.667105
MBTP;IT0024832682;20260608;IT0005402117;1.45;20360301;0.673275
MBTP;IT0025480929;20260908;IT0005402117;1.45;20360301;0.679587
MBTX;IT0024603836;20260306;IT0005425233;1.7;20510901;0.63935
MBTX;IT0024832716;20260608;IT0005425233;1.7;20510901;0.641404
MBTX;IT0025480937;20260908;IT0005425233;1.7;20510901;0.643515
MBTP;IT0024603802;20260306;IT0005433195;0.95;20370301;0.603359
MBTP;IT0024832682;20260608;IT0005433195;0.95;20370301;0.609841
MBTP;IT0025480929;20260908;IT0005433195;0.95;20370301;0.616457
MBTX;IT0024603836;20260306;IT0005480980;2.15;20520901;0.704616
MBTX;IT0024832716;20260608;IT0005480980;2.15;20520901;0.706189
MBTX;IT0025480937;20260908;IT0005480980;2.15;20520901;0.707823
MBTX;IT0024603836;20260306;IT0005534141;4.5;20531001;1.089888
MBTX;IT0024832716;20260608;IT0005534141;4.5;20531001;1.089401
MBTX;IT0025480937;20260908;IT0005534141;4.5;20531001;1.088968
MBTP;IT0024603802;20260306;IT0005607970;3.85;20350201;0.858805
MBTP;IT0024832682;20260608;IT0005607970;3.85;20350201;0.861891
MBTX;IT0024603836;20260306;IT0005611741;4.3;20541001;1.057645
MBTX;IT0024832716;20260608;IT0005611741;4.3;20541001;1.05734
MBTX;IT0025480937;20260908;IT0005611741;4.3;20541001;1.057088
MBTP;IT0024603802;20260306;IT0005631590;3.65;20350801;0.83858
MBTP;IT0024832682;20260608;IT0005631590;3.65;20350801;0.84187
MBTP;IT0025480929;20260908;IT0005631590;3.65;20350801;0.845212
MBTP;IT0024603802;20260306;IT0005648149;3.6;20351001;0.83289
MBTP;IT0024832682;20260608;IT0005648149;3.6;20351001;0.836166
MBTP;IT0025480929;20260908;IT0005648149;3.6;20351001;0.839556
MBTX;IT0024603836;20260306;IT0005668238;4.65;20551001;1.119362
MBTX;IT0024832716;20260608;IT0005668238;4.65;20551001;1.118791
MBTX;IT0025480937;20260908;IT0005668238;4.65;20551001;1.118275
MBTP;IT0024603802;20260306;IT0005676504;3.45;20360201;0.817404
MBTP;IT0024832682;20260608;IT0005676504;3.45;20360201;0.820883
MBTP;IT0025480929;20260908;IT0005676504;3.45;20360201;0.824415
