807,TFYR of Macedonia,The Former Yugoslav Republic of Macedonia,MK,MKD
810,Fmr USSR,Former USSR,SU,SUN
818,Egypt,Egypt,EG,EGY
826,United Kingdom,United Kingdom,GB,GBR
834,United Rep. of Tanzania,United Republic of Tanzania,TZ,TZA
842,USA,"USA, Puerto Rico and US Virgin Islands",US,USA
849,US Misc. Pacific Isds,US Miscellaneous Pacific Islands,N/A,N/A
854,Burkina Faso,Burkina Faso,BF,BFA
858,Uruguay,Uruguay,UY,URY
860,Uzbekistan,Uzbekistan,UZ,UZB
862,Venezuela,Venezuela,VE,VEN
876,Wallis and Futuna Isds,Wallis and Futuna Islands,WF,WLF
882,Samoa,Samoa,WS,WSM
887,Yemen,Yemen,YE,YEM
891,Serbia and Montenegro,Serbia and Montenegro,CS,SCG
894,Zambia,Zambia,ZM,ZMB
