AFGHANISTAN,Afghani,AFN,971
ALBANIA,Lek,ALL,8
ALGERIA,Dinaro Algerino,DZD,12
ANDORRA,Euro,EUR,978
ANGOLA,Kwanza,AOA,973
ANGUILLA,Dollaro Caraibico Orientale,XCD,951
ANTIGUA E BARBUDA,Dollaro Caraibico Orientale,XCD,951
ARABIA SAUDITA,Riyal saudita,SAR,682
ARGENTINA,Peso Argentino,ARS,32
ARMENIA,Dram Armeno,AMD,51
ARUBA,Fiorino Aruba,AWG,533
AUSTRALIA,Dollaro Australiano,AUD,36
AUSTRIA,Euro,EUR,978
AZERBAIGIAN,Manat dell'Azerbaigian,AZN,944
BAHAMAS (THE),Dollaro delle Bahamas,BSD,44
BAHRAIN,Dinaro del Bahrain,BHD,48
BANGLADESH,Taka,BDT,50
BARBADOS,Dollaro delle Barbados,BBD,52
BELGIO,Euro,EUR,978
BELIZE,Dollaro Belize,BZD,84
BENIN,Franco CCE BCEAO,XOF,952
BERMUDA,Dollaro delle Bermuda,BMD,60
BHUTAN,Ngultrum,BTN,64
BHUTAN,Rupia Indiana,INR,356
BIELORUSSIA,Rublo Bielorusso,BYR,974
BOLIVIA (STATO PLURINAZIONALE DI),Boliviano,BOB,68
BOLIVIA (STATO PLURINAZIONALE DI),Mvdol,BOV,984
BONAIRE,Dollaro Americano,USD,840
BOSNIA ERZEGOVINA,Marco Convertibile,BAM,977
BOTSWANA,Pula,BWP,72
BOUVET ISLAND,Corona Norvegese,NOK,578
BRASILE,Real Brasiliano,BRL,986
BRUNEI DARUSSALAM,Dollaro del Brunei,BND,96
BULGARIA,Lev Bulgaro,BGN,975
BURKINA FASO,CFA Franco BCEAO,XOF,952
BURUNDI,Burundi Franco,BIF,108
CABO VERDE,Cabo Verde Escudo,CVE,132
CAMBOGIA,Riel,KHR,116
CAMERUN,CFA Franco BEAC,XAF,950
CANADA,Dollaro Canadese,CAD,124
CHAD,CFA Franco BEAC,XAF,950
CILE,Unidad de Fomento,CLF,990
CILE,Peso Cileno,CLP,152
CINA,Yuan Renminbi,CNY,156
CIPRO,Euro,EUR,978
COLOMBIA,Peso Colombiano,COP,170
COLOMBIA,Unidad de Valor Real,COU,970
COMORE (THE),Franco delle Comore,KMF,174
CONGO (REPUBBLICA DEMOCRATICA DEL),Franco congolese,CDF,976
CONGO (THE),CFA Franco BEAC,XAF,950
COREA (LA REPUBBLICA DI),Won,KRW,410
COREA (REPUBBLICA POPOLARE DEMOCRATICA DI),Won Nordcoreano,KPW,408
