 INFO	[2026-03-29 16:20:10,972] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

ERROR	[2026-03-29 16:23:36,219] [SwingWorker-pool-1-thread-1] (LoggerMgr.java:31)
     	Server returned HTTP response code: 504 for URL: https://mercatiwdg.ilsole24ore.com/FinanzaMercati/WidgetSelector/listino?widgetConfiguration=FMEURIBOR

 INFO	[2026-03-29 16:24:03,592] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-03-29 16:29:47,099] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 12:22:36,898] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 14:36:13,817] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 14:38:11,866] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 14:46:18,127] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 14:56:48,765] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 14:59:14,321] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 15:00:30,246] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 15:02:29,426] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-01 15:03:32,865] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

ERROR	[2026-04-02 09:04:37,543] [SwingWorker-pool-3-thread-1] (LoggerMgr.java:31)
     	Error importing Country: CSK [could not execute statement [ERROR: duplicate key value violates unique constraint "alfa_2_code"
  Detail: Key (alfa_2_code)=(CS) already exists.] [insert into country (alfa_2_code,alfa_3_code,calendar,country_name,country_numeric_code,currency,internet_cc_tld,official_state_name,sovereign,subdivision_code_links,id_country) values (?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into country (alfa_2_code,alfa_3_code,calendar,country_name,country_numeric_code,currency,internet_cc_tld,official_state_name,sovereign,subdivision_code_links,id_country) values (?,?,?,?,?,?,?,?,?,?,?)]; constraint [alfa_2_code]]

ERROR	[2026-04-02 09:05:23,484] [SwingWorker-pool-3-thread-2] (LoggerMgr.java:31)
     	Error importing Country: CSK [could not execute statement [ERROR: duplicate key value violates unique constraint "alfa_2_code"
  Detail: Key (alfa_2_code)=(CS) already exists.] [insert into country (alfa_2_code,alfa_3_code,calendar,country_name,country_numeric_code,currency,internet_cc_tld,official_state_name,sovereign,subdivision_code_links,id_country) values (?,?,?,?,?,?,?,?,?,?,?)]; SQL [insert into country (alfa_2_code,alfa_3_code,calendar,country_name,country_numeric_code,currency,internet_cc_tld,official_state_name,sovereign,subdivision_code_links,id_country) values (?,?,?,?,?,?,?,?,?,?,?)]; constraint [alfa_2_code]]

 INFO	[2026-04-02 09:05:29,985] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 10:39:05,352] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 10:39:28,703] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 10:41:19,009] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 10:41:38,638] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 10:57:16,071] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 10:57:20,902] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 14:25:32,018] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated

 INFO	[2026-04-02 14:26:01,282] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 14:26:46,903] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 14:27:24,521] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 14:29:27,846] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 14:29:42,419] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

 INFO	[2026-04-02 14:31:23,740] [ImportWorker-1] (LoggerMgr.java:36)
     	Import terminated successfully

 INFO	[2026-04-02 14:31:56,720] [AWT-EventQueue-0] (LoggerMgr.java:36)
     	Bye bye!

