ric;offset_type;offset_value;bid;ask;compounding;daycount
Italy 1M;2;1;2.199;2232;1;3
Italy 3M;2;3;2.504;2503;1;3
Italy 6M;2;6;2.599;2.599;1;3
Italy 9M;2;9;2.715;2.715;1;3
Italy 1Y;3;1;2.788;2.788;2;3
Italy 2Y;3;2;3.059;3.059;2;3
Italy 3Y;3;3;3.157;3.157;2;3
Italy 4Y;3;4;3.328;3.328;2;3
Italy 5Y;3;5;3.459;3.459;2;3
Italy 6Y;3;6;3.601;3.601;2;3
Italy 7Y;3;7;3.692;3.692;2;3
Italy 8Y;3;8;3.85;3.85;2;3
Italy 9Y;3;9;3.999;3.999;2;3
Italy 10Y;3;10;4;4;2;3
Italy 15Y;3;15;4.485;4.485;2;3
Italy 20Y;3;20;4.666;4.666;2;3
Italy 25Y;3;25;4.759;4.759;2;3
Italy 30Y;3;30;4.874;4.874;2;3
Italy 50Y;3;50;4.476;4.476;2;3
