yield_curve;ric;offset_type;offset_value;bid;ask;compounding;daycount
9;Italy 1M;2;1;2,232;2,232;1;3
9;Italy 3M;2;3;2,503;2,503;1;3
9;Italy 6M;2;6;2,588;2,588;1;3
9;Italy 9M;2;9;2,702;2,702;1;3
9;Italy 1Y;3;1;2,782;2,782;2;3
9;Italy 2Y;3;2;3,061;3,061;2;3
9;Italy 3Y;3;3;3,159;3,159;2;3
9;Italy 4Y;3;4;3,327;3,327;2;3
9;Italy 5Y;3;5;3,455;3,455;2;3
9;Italy 6Y;3;6;3,6;3,6;2;3
9;Italy 7Y;3;7;3,682;3,682;2;3
9;Italy 8Y;3;8;3,848;3,848;2;3
9;Italy 9Y;3;9;3,996;3,996;2;3
9;Italy 10Y;3;10;4,069;4,069;2;3
9;Italy 15Y;3;15;4,469;4,469;2;3
9;Italy 20Y;3;20;4,666;4,666;2;3
9;Italy 25Y;3;25;4,737;4,737;2;3
9;Italy 30Y;3;30;4,857;4,857;2;3
9;Italy 50Y;3;50;4,461;4,461;2;3
